Embedding,Classifier,Accuracy_mean,Accuracy_std,F1_Macro_mean,F1_Macro_std,Precision_Macro_mean,Precision_Macro_std,Recall_Macro_mean,Recall_Macro_std,Training_Time_mean,Training_Time_sum
scVI,RandomForest,0.9139582272032604,0.004134749190575077,0.8701329928341487,0.0064638908141328045,0.8668993381530559,0.008406976459143178,0.8785589218984194,0.007768720554982912,0.9928678,9.928678
scVI,SVM,0.9223637289862456,0.004390122778212612,0.8750774816927833,0.009380338155811588,0.8835585760516924,0.008053362738059835,0.8698248877340916,0.012242835595718976,8.0597455,80.597455
scVI,XGBoost,0.9153846153846154,0.003684875261253766,0.8654012208499923,0.006966530761093374,0.86049805135697,0.006201912043211341,0.8752594155500508,0.009186901330771848,2.0551369,20.551369
