,accuracy,accuracy,f1_macro,f1_macro,precision_macro,precision_macro,recall_macro,recall_macro,training_time,training_time
,mean,std,mean,std,mean,std,mean,std,mean,std
classifier,,,,,,,,,,
RandomForest,0.943,0.0072,0.918,0.0205,0.9335,0.0082,0.9152,0.0254,1.1393,0.0339
SVM,0.9285,0.0084,0.9057,0.0238,0.8973,0.0187,0.9272,0.0267,7.4379,0.3
XGBoost,0.943,0.008,0.9174,0.0205,0.9246,0.0192,0.9186,0.0281,3.4393,0.0586
